id,type,lat,lon,name,tourism,wikipedia,housenumber,street,city,state,postcode
158801311,node,40.7251022,-73.9795833,Alphabet City,yes,,,,,,
158809984,node,40.72288,-73.9987505,SoHo,attraction,"en:SoHo, Manhattan",,,,,
158862484,node,40.7486231,-73.9713889,Tudor City,yes,,,,,,
320948228,node,40.7057505,-74.0029056,South Street Seaport,attraction,en:South Street Seaport,,,,,
357618558,node,40.7322674,-73.9972548,"New York Studio School of Drawing, Painting and Sculpture",yes,"en:New York Studio School of Drawing, Painting and Sculpture",,,,,
357620718,node,40.7714555,-73.9679875,Richard Morris Hunt,artwork,en:Richard Morris Hunt Memorial,,,,,
357621823,node,40.7941111,-73.9764799,Joan of Arc Memorial,artwork,,,,,,
368042980,node,40.7214798,-73.9971028,Storefront for Art and Architecture,gallery,en:Storefront for Art and Architecture,97,Kenmare Street,,,10012
368043598,node,40.7338007,-74.0021484,Stonewall Inn,attraction,en:Stonewall Inn,53,Christopher Street,New York,NY,10014
368043670,node,40.7470923,-74.0064354,Paula Cooper Gallery,gallery,,525,West 21st Street,New York,NY,10011
368052081,node,40.703387,-74.011354,Fraunces Tavern Museum,museum,,54,Pearl Street,New York,NY,10004
368061337,node,40.704027,-74.013747,National Museum of the American Indian,museum,,1,Bowling Green,New York,NY,10004
368061366,node,40.7593341,-73.9841239,Times Square Museum & Visitor Center,information,,,,,NY,
368061418,node,40.7823754,-73.9811723,Hotel Belleclaire,hotel,,2175,Broadway,New York,NY,10024
368061423,node,40.7819444,-73.9825,Hotel Churchill,hotel,,,,,NY,
368061605,node,40.737978,-73.9938312,Yeshiva University Museum,museum,en:Yeshiva University Museum,,,,NY,
368061657,node,40.725,-73.9977778,Museum of African Art,museum,,,,,NY,
368061660,node,40.7187837,-73.9900266,Lower East Side Tenement Museum,museum,en:Lower East Side Tenement Museum,103,Orchard Street,New York,NY,
368062558,node,40.7707317,-73.9804233,West Side YMCA,hostel,,,,,NY,10023
373069793,node,40.7055641,-74.0134462,Charging Bull,artwork,en:Charging Bull,,,,,
422438959,node,40.7701407,-73.9723395,Sir Walter Scott,artwork,en:Statue of Walter Scott (New York City),,,,,
422438963,node,40.770193,-73.9725659,Robert Burns,artwork,en:Robert Burns (Steell),,,,,
422438965,node,40.7699059,-73.9727725,Christopher Columbus,artwork,en:Statue of Christopher Columbus (Central Park),,,,,
432760466,node,40.7942639,-73.9519498,Three Dancing Maidens â Untermyer Fountain,artwork,en:Three Dancing Maidens,,,,,
561042174,node,40.7104974,-74.0138892,The Sphere,artwork,en:The Sphere,,,,,
561950053,node,40.7697989,-73.9723702,William Shakespeare,artwork,en:Statue of William Shakespeare (New York City),,,,,
561950133,node,40.7703769,-73.9731523,Indian Hunter,artwork,en:Indian Hunter (Ward),,,,,
561950155,node,40.7706639,-73.9721367,Fitz-Greene Halleck,artwork,en:Statue of Fitz-Greene Halleck,,,,,
561950603,node,40.7750382,-73.9665337,Alice in Wonderland,artwork,,,,,,
566445454,node,40.7180976,-73.9886501,International Center of Photography,museum,en:International Center of Photography,79,Essex Street,New York,NY,10002
600524075,node,40.7931582,-73.9527596,Burnett Memorial Fountain,artwork,en:Burnett Memorial Fountain,,,,,
600524231,node,40.7952752,-73.9521167,,viewpoint,,,,,,
600524342,node,40.7965284,-73.9528662,,viewpoint,,,,,,
607275263,node,40.804182,-73.951475,L-Hostels,hostel,,,,,,
746176809,node,40.7936648,-73.9710998,,hostel,,,,,,
746730288,node,40.8498716,-73.9446423,GWB View,viewpoint,,,,,,
748726562,node,40.8509205,-73.9268503,HBP 187 View,viewpoint,,,,,,
748726564,node,40.8494463,-73.9285932,,viewpoint,,,,,,
748726568,node,40.8373579,-73.9354673,,viewpoint,,,,,,
748726681,node,40.856969,-73.9217898,,viewpoint,,,,,,
765351907,node,40.8463207,-73.9296031,,viewpoint,,,,,,
765365662,node,40.8462228,-73.9295373,,viewpoint,,,,,,
793892336,node,40.7044082,-74.014598,Netherland Monument,artwork,,,,,,
822939198,node,40.7814188,-73.9799422,Amsterdam Inn,hotel,,,,,,
889117109,node,40.7149558,-74.015694,Conrad,hotel,,102,North End Avenue,New York,,10282
889473084,node,40.715575,-74.008857,The Frederick Hotel,hotel,,,,,,
990032612,node,40.7443441,-73.9867075,Latham,hotel,,4,East 28th Street,New York,NY,
