@id	@type	@lat	@lon	name	highway	lanes	maxspeed	oneway
5668966	way	40.7983509	-73.9607645	West 106th Street	secondary			
5668968	way	40.7841149	-73.9785054	West 80th Street	residential	2		yes
5668973	way	40.8598859	-73.9283292	Hillside Avenue	tertiary			yes
5668977	way	40.7868339	-73.9771099	West 84th Street	residential			yes
5668983	way	40.7259372	-73.9757589	Szold Place	residential		20 mph	yes
5668986	way	40.8134030	-73.9587581	La Salle Street	residential			
5668989	way	40.7334520	-73.9973157	West 9th Street	residential	1	25 mph	yes
5668993	way	40.7349901	-73.9993119	Patchin Place	service		25 mph	
5668997	way	40.7257535	-73.9939867	Jones Alley	service			
5668999	way	40.7041428	-74.0086478	Old Slip	residential	1	20 mph	yes
5669002	way	40.7702685	-73.9833606	West 61st Street	residential	2		yes
5669004	way	40.7713099	-73.9859587	West 61st Street	residential	2	25 mph	no
5669008	way	40.7895114	-73.9732797	West 89th Street	residential			yes
5669013	way	40.7112390	-74.0149586	Liberty Street	residential	3	20 mph	no
5669227	way	40.7591168	-73.9972659	Galvin Avenue	secondary	2	25 mph	yes
5669228	way	40.7584890	-73.9978450	PABT Ramp	service			yes
5669236	way	40.7798470	-73.9442012	York Avenue	secondary	2		yes
5669290	way	40.7916505	-73.9646246	97th Street Transverse	secondary			yes
5669316	way	40.8145017	-73.9354554	East 138th Street	secondary	3	25 mph	yes
5669332	way	40.7573407	-73.9947717	PABT Ramp	service			yes
5669343	way	40.7831839	-73.9692493	West 85th Street	service	1	20 mph	yes
5669355	way	40.7694456	-73.9438215	Main Street	unclassified	2	10 mph	
5669386	way	40.7857741	-73.9842584		secondary	1		
5669407	way	40.8165063	-73.9344068	Harlem River Drive	secondary	1	25 mph	yes
5669501	way	40.7981516	-73.9527915	Lenox Avenue Approach	service	2	20 mph	yes
5669509	way	40.7603494	-73.9514832	Main Street	tertiary	2	15 mph	
5669574	way	40.7920857	-73.9370124	A New Street	residential	1		yes
5669593	way	40.7627044	-73.9485399		residential			
5669595	way	40.8065628	-73.9345297		primary_link	2		yes
5669615	way	40.7561865	-73.9550525	North Loop Road	unclassified	1	15 mph	yes
5669631	way	40.7106100	-74.0046942	Spruce Street	residential	1	20 mph	yes
5669633	way	40.7065324	-74.0058613	Fletcher Street	unclassified	1	20 mph	yes
5669639	way	40.7157674	-73.9838911	Pitt Street	residential	2	25 mph	yes
5669643	way	40.7463106	-74.0067081	West 20th Street	unclassified		25 mph	yes
5669652	way	40.8719479	-73.9119190	West 220th Street	residential			yes
5669661	way	40.8172157	-73.9496610	Saint Nicholas Terrace	residential			yes
5669662	way	40.7139021	-73.9808685	Jackson Street	residential		25 mph	yes
5669664	way	40.7637836	-73.9737952	West 58th Street	residential	3	25 mph	yes
5669665	way	40.8561031	-73.9285228	West 192nd Street	residential			yes
5669666	way	40.8579785	-73.9325100	West 192nd Street	residential		20 mph	
5669669	way	40.7459834	-73.9884568	West 29th Street	residential		25 mph	yes
5669679	way	40.8622167	-73.9297199	Sherman Avenue	secondary			yes
5669683	way	40.8265811	-73.9429052	Saint Nicholas Place	tertiary	1	25 mph	yes
5669691	way	40.7818870	-73.9715672	79th Street Transverse	secondary	4	25 mph	no
5669693	way	40.8738917	-73.9081589	West 225th Street	secondary			no
5669696	way	40.8751709	-73.9119498	West 225th Street	residential	1		yes
5669709	way	40.7596069	-73.9590383	York Avenue	secondary	4		
5669710	way	40.7828174	-73.9796491	West 78th Street	residential			yes
5669714	way	40.8484853	-73.9338969	West 180th Street	residential		25 mph	yes
5669719	way	40.8485079	-73.9412211	Cabrini Boulevard	residential	1	25 mph	yes
