u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,lanes,ref,access,bridge,tunnel,width,junction
42421728,42435337,0,195743153,secondary,25,Central Park West,False,True,85.34515470462713,,,,,,,
42421728,42421731,0,"[420625565, 420625573, 5668966]",secondary,,West 106th Street,False,False,138.03308952853828,,,,,,,
42421728,42432736,0,"[1271523197, 1271523198]",secondary,25,Central Park West,False,False,86.27456870373445,,,,,,,
42421731,42437916,0,5671485,residential,,Manhattan Avenue,False,True,86.14920332816727,,,,,,,
42421731,42432737,0,195743186,residential,,Manhattan Avenue,False,False,85.9687654326612,,,,,,,
42421731,42421728,0,"[420625565, 5668966, 420625573]",secondary,,West 106th Street,False,True,138.03308952853826,,,,,,,
42421731,42421737,0,"[195743201, 420625570]",secondary,,West 106th Street,False,False,134.77112308645727,,,,,,,
42421737,42421731,0,"[195743201, 420625570]",secondary,,West 106th Street,False,True,134.77112308645727,,,,,,,
42421737,42437917,0,420625563,primary,25,Columbus Avenue,True,False,85.99085373431258,3,,,,,,
42421737,42421741,0,420625567,secondary,,West 106th Street,False,True,271.3508315239775,2,,,,,,
42421741,42432756,0,"[957050578, 196116970]",primary,,Amsterdam Avenue,True,False,86.23903766903307,"['4', '3']",,,,,,
42421741,1061531654,0,"[420625569, 196117060, 420625564]",secondary,,West 106th Street,False,False,199.7941140306396,,,,,,,
42421741,42421737,0,420625567,secondary,,West 106th Street,False,False,271.3508315239775,2,,,,,,
42421745,1061531654,0,195743200,secondary,,West 106th Street,False,False,22.08785079907959,,,,,,,
42421745,42421749,0,"[420625568, 68674963]",secondary,,West 106th Street,False,True,55.924056405462686,,,,,,,
42421745,11803957852,0,196116982,primary,25,Broadway,True,False,93.53818564138417,4,,,,,,
42421749,42421751,0,46563041,residential,,West 106th Street,False,False,142.25972439474836,,,,,,,
42421749,42421745,0,"[420625568, 68674963]",secondary,,West 106th Street,False,False,55.92405640546268,,,,,,,
42421749,42431118,0,"[945966226, 1029634742]",tertiary,25,West End Avenue,False,False,85.52103361465278,"['2', '3']",,,,,,
42421751,42421749,0,46563041,residential,,West 106th Street,False,True,142.25972439474836,,,,,,,
42421751,42432764,0,945966227,residential,,Riverside Drive,True,False,85.1811835903375,1,,,,,,
42421769,42443347,0,195743159,primary,25,Columbus Avenue,True,False,86.01085340862146,3,,,,,,
42421772,42421769,0,5668968,residential,,West 80th Street,True,False,271.7017452995124,2,,,,,,
42421772,42442469,0,"[1025731514, 195743132]",primary,,Amsterdam Avenue,True,False,81.61915885499333,"['4', '3']",,,,,,
42421775,11655721345,0,5668968,residential,,West 80th Street,True,False,19.292136858252466,2,,,,,,
42421775,42428653,0,404253364,primary,25,Broadway,True,False,86.20818058340643,4,,,,,,
42421776,42421775,0,5668968,residential,,West 80th Street,True,False,105.43305466871695,2,,,,,,
42421776,42431024,0,"[837696056, 837696054]",tertiary,25,West End Avenue,False,False,80.92245222202435,3,,,,,,
42421776,42431019,0,"[837696052, 837696055]",tertiary,25,West End Avenue,False,True,86.55482911524162,"['2', '3']",,,,,,
42421778,42421776,0,5668968,residential,,West 80th Street,True,False,127.99254166429785,2,,,,,,
42421778,42422592,0,"[763299975, 46111607]",secondary,,Riverside Drive,False,False,87.48022596426914,,,,,,,
42421778,42441587,0,46111607,secondary,,Riverside Drive,False,True,82.1866001902237,,,,,,,
42421783,42443522,0,"[5672050, 164839573]",primary,,Nagle Avenue,False,"[False, True]",267.007876360242,"['4', '3']",,,,,,
42421783,42427782,0,"[104984000, 5672430]",residential,20,Bennett Avenue,True,False,249.00078188031068,,,,,,,
42421783,42429174,0,962669696,primary,,Broadway,False,False,153.18326240017382,4,US 9,,,,,
42421783,8904913030,0,"[962669697, 962669695]",primary,,Broadway,False,True,29.605289929157358,4,US 9,,,,,
42421785,42421786,0,5668973,tertiary,,Hillside Avenue,True,False,239.74347624042753,,,,,,,
42421785,42443520,0,5671285,residential,,Bogardus Place,False,False,201.1830127897773,,,,,,,
42421786,42421791,0,5668973,tertiary,,Hillside Avenue,True,False,127.59031906257657,,,,,,,
42421791,4814440062,0,5668973,tertiary,,Hillside Avenue,True,False,215.27370491299004,,,,,,,
42421791,42448930,0,5671645,residential,,Sickles Street,True,False,90.61989019143377,,,,,,,
42421800,42435308,0,542215780,secondary,25,Central Park West,False,True,80.57150854434367,4,,,,,,
42421800,42424851,0,"[1271523180, 1271523181]",secondary,25,Central Park West,False,False,80.76283530508906,4,,,,,,
42421803,42437300,0,421853639,primary,,Columbus Avenue,True,False,80.82424440789173,4,,,,,,
42421803,42421800,0,542216919,residential,,West 84th Street,True,False,273.3326739091509,,,,,,,
42421806,42421803,0,5668977,residential,,West 84th Street,True,False,271.7345441160287,,,,,,,
42421806,42442475,0,740085321,primary,,Amsterdam Avenue,True,False,81.10718431149273,3,,,,,,
